year,net_revenues_k,designated_opr_k,operating_net_k,coverage_amount_k,aggregate_annual_debt_service_k,ratio_operating,ratio_pledged,ratio_printed,cov_acct_pct_of_ads,source_id,source_page,basis
2025,79417,8800,70617,14745,58980,1.20,1.35,1.60,25.00,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
2026,94616,11575,83041,21168,84670,0.98,1.12,1.37,25.00,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
2027,102774,11575,91199,21168,91112,1.00,1.13,1.36,23.23,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
2028,101815,11575,90240,22707,90827,0.99,1.12,1.37,25.00,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
2029,107144,11576,95568,22639,90556,1.06,1.18,1.43,25.00,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
2030,107243,11575,95668,22566,90264,1.06,1.19,1.44,25.00,os-2025ab,PDF 202 (printed B-16) + PDF 316,leighfisher_2025_forecast
