clip_id,published,date_source,title,speaker,statement,paragraph,url,wayback,sha256,tier
trib-additive-manufacturing-campus-announced-for-pittsburgh-airpo,2019-10-25T17:59:20+00:00,discovery,Additive manufacturing site announced for Pittsburgh ...,"Christina Cassotis, chief executive","The ability to make Pittsburgh a world leader in additive manufacturing is right under our feet and all around us,","""The ability to make Pittsburgh a world leader in additive manufacturing is right under our feet and all around us,"" said Allegheny County Airport Authority CEO Christina Cassotis, as she stood on the site of the new development.",https://archive.triblive.com/local/additive-manufacturing-campus-announced-for-pittsburgh-airport-innovation-campus/,https://web.archive.org/web/20260815191602/https://archive.triblive.com/local/additive-manufacturing-campus-announced-for-pittsburgh-airport-innovation-campus/,c51b47eb66e10df393ce08a1b39f4137d01d896fe2e31c6bec480845958c0d0c,C
trib-airlines-cut-flights-out-of-pittsburgh-international-airport,2020-03-17T12:42:52+00:00,discovery,Airlines cut flights out of Pittsburgh International Airport as ...,"Christina Cassotis, chief executive","By keeping our operations running smoothly, we will be in a position to rebound along with our airline partners,","""By keeping our operations running smoothly, we will be in a position to rebound along with our airline partners,"" Cassotis wrote. ""This crisis will pass and we'll be ready for when travel comes back. And it will come back.""",https://archive.triblive.com/local/airlines-cut-flights-out-of-pittsburgh-international-airport-as-coronavirus-spreads/,http://web.archive.org/web/20260815191851/https://archive.triblive.com/local/airlines-cut-flights-out-of-pittsburgh-international-airport-as-coronavirus-spreads/,f11989abe354c2900098fd9d2520c34b9b804bb1a9148764e7e2efeee249b88b,C
trib-emergency-food-distribution-at-pittsburgh-international-airp,2020-04-21T20:06:34+00:00,capture,Emergency food distribution at Pittsburgh International ...,"Christina Cassotis, chief executive","Pittsburgh International Airport is an integral part of the community,","""Pittsburgh International Airport is an integral part of the community,"" Cassotis said. ""Our facilities will always be used to help the region. With traffic down and large, quiet spaces available, we are finding new ways to serve. We are proud to partner with the Greater Pittsburgh Community Food Bank for this event and we look forward to assisting those in need.""",https://archive.triblive.com/local/emergency-food-distribution-at-pittsburgh-international-airport-set-for-wednesday/,,,C
trib-short-term-parking-rates-rise-at-pittsburgh-airport-while-ne,2021-06-07T18:10:58+00:00,capture,Short-term parking rates rise at Pittsburgh airport while new ...,"Christina Cassotis, chief executive","After a very tough year, people want to get away from home and spend time with loved ones no matter where they may be,","""After a very tough year, people want to get away from home and spend time with loved ones no matter where they may be,"" Allegheny County Airport Authority CEO Christina Cassotis said.",https://archive.triblive.com/local/short-term-parking-rates-rise-at-pittsburgh-airport-while-new-economy-lot-offers-7-daily-rate/,,ffbe17a54f45b1c6a4c2c02c324a20aed702911bc745dde8ef1848f9b975520f,C
trib-new-1-4b-terminal-at-pittsburgh-international-airport-takes-,2022-09-28T16:11:00+00:00,discovery,$1.4B terminal at Pittsburgh International Airport takes shape,"Christina Cassotis, chief executive","This is going to make life a lot better for people who travel and everyone who uses the airport,","""This is going to make life a lot better for people who travel and everyone who uses the airport,"" Allegheny County Airport Authority CEO Christina Cassotis said.",https://archive.triblive.com/local/new-1-4b-terminal-at-pittsburgh-international-airport-takes-shape/,https://web.archive.org/web/20260815190927/https://archive.triblive.com/local/new-1-4b-terminal-at-pittsburgh-international-airport-takes-shape/,955427135badced7ffcbe6f320dee1dfd01dfc85e0a7945cffff1b43d156eacc,C
trib-unauthorized-drone-causes-ground-stoppage-at-pittsburgh-inte,2023-06-06T06:33:04+00:00,capture,Unauthorized drone causes ground stoppage at Pittsburgh ...,"Bob Kerlik, spokesman","Drones can pose safety risks to aviation and unauthorized operators in protected airspace can be fined or face charges,","""Drones can pose safety risks to aviation and unauthorized operators in protected airspace can be fined or face charges,"" Kerlik said in a statement.",https://archive.triblive.com/local/unauthorized-drone-causes-ground-stoppage-at-pittsburgh-international-airport/,,,C
trib-planning-and-patience-required-when-traveling-with-children-,2023-11-20T19:38:05+00:00,capture,Planning and patience required when traveling with ...,"Bob Kerlik, spokesman","The most important piece of advice for those coming to the airport with children is planning,","""The most important piece of advice for those coming to the airport with children is planning,"" said Bob Kerlik, director of public affairs for the airport, who agrees with Weigler that arriving more than two hours ahead is best.",https://archive.triblive.com/local/regional/planning-and-patience-required-when-traveling-with-children-over-the-holidays/,,a0f10fba8a440a04c0a5b51042a2c811ef5e1d7efa27830a026b0dccff0c50b8,C
trib-planning-and-patience-required-when-traveling-with-children-,2023-11-20T19:38:05+00:00,capture,Planning and patience required when traveling with ...,"Bob Kerlik, spokesman","Take the time before you leave the house to make sure you have everything you need,","""Take the time before you leave the house to make sure you have everything you need,"" Kerlik said. ""If you have strollers and car seats … that might require more time, so make sure you allow for that. Contact the airline because they may differ when it comes to checking things such as strollers and car seats.""",https://archive.triblive.com/local/regional/planning-and-patience-required-when-traveling-with-children-over-the-holidays/,,a0f10fba8a440a04c0a5b51042a2c811ef5e1d7efa27830a026b0dccff0c50b8,C
trib-construction-at-1-5b-pittsburgh-international-airport-termin,2024-02-29T14:08:15+00:00,capture,Construction of $1.5B Pittsburgh International Airport ...,"Paul Hoback, chief development officer","There is a pretty big window of time between construction being completed and opening,","""There is a pretty big window of time between construction being completed and opening,"" Hoback said.",https://archive.triblive.com/local/construction-at-1-5b-pittsburgh-international-airport-terminal-passes-halfway-mark-officials-say/,,,C
trib-construction-at-1-5b-pittsburgh-international-airport-termin,2024-02-29T14:08:15+00:00,capture,Construction of $1.5B Pittsburgh International Airport ...,"Paul Hoback, chief development officer","This is going to be our Fort Pitt moment to the new airside mezzanine,","""This is going to be our Fort Pitt moment to the new airside mezzanine,"" Hoback said.",https://archive.triblive.com/local/construction-at-1-5b-pittsburgh-international-airport-terminal-passes-halfway-mark-officials-say/,,,C
trib-rebounding-pittsburgh-airport-pledges-shorter-security-wait-,2024-07-02T18:39:04+00:00,capture,Rebounding Pittsburgh airport pledges shorter security ...,"Bob Kerlik, spokesman","We are going to see crowds like we did last week throughout the summer,","""We are going to see crowds like we did last week throughout the summer,"" Kerlik said Monday.",https://archive.triblive.com/local/rebounding-pittsburgh-airport-pledges-shorter-security-wait-times-at-new-terminal/,,44e99fe2e95bdb5e8a051daeaae082d42f40e2be374c59c09dde3a44dabcc688,C
trib-rebounding-pittsburgh-airport-pledges-shorter-security-wait-,2024-07-02T18:39:04+00:00,capture,Rebounding Pittsburgh airport pledges shorter security ...,"Bob Kerlik, spokesman","With the new terminal, what you are going to see is an expanded and consolidated security checkpoint,","""With the new terminal, what you are going to see is an expanded and consolidated security checkpoint,"" Kerlik said. ""That way we will be able to maximize staff and get people through the lines much more quickly.""",https://archive.triblive.com/local/rebounding-pittsburgh-airport-pledges-shorter-security-wait-times-at-new-terminal/,,44e99fe2e95bdb5e8a051daeaae082d42f40e2be374c59c09dde3a44dabcc688,C
trib-rebounding-pittsburgh-airport-pledges-shorter-security-wait-,2024-07-02T18:39:04+00:00,capture,Rebounding Pittsburgh airport pledges shorter security ...,"Bob Kerlik, spokesman","Now the hub is gone, but the number of the people using the security checkpoint has about doubled,","""Now the hub is gone, but the number of the people using the security checkpoint has about doubled,"" Kerlik said.",https://archive.triblive.com/local/rebounding-pittsburgh-airport-pledges-shorter-security-wait-times-at-new-terminal/,,44e99fe2e95bdb5e8a051daeaae082d42f40e2be374c59c09dde3a44dabcc688,C
trib-rebounding-pittsburgh-airport-pledges-shorter-security-wait-,2024-07-02T18:39:04+00:00,capture,Rebounding Pittsburgh airport pledges shorter security ...,"Bob Kerlik, spokesman","Not only will there be more, we are getting them all in one spot with a lot more space to operate,","""Not only will there be more, we are getting them all in one spot with a lot more space to operate,"" Kerlik said.",https://archive.triblive.com/local/rebounding-pittsburgh-airport-pledges-shorter-security-wait-times-at-new-terminal/,,44e99fe2e95bdb5e8a051daeaae082d42f40e2be374c59c09dde3a44dabcc688,C
trib-british-airways-to-expand-flights-from-pittsburgh-to-london,2024-09-17T11:23:04+00:00,capture,British Airways to expand flights from Pittsburgh to London,"Christina Cassotis, chief executive","This investment to increase service demonstrates the continued popularity international travel has from our market,","""This investment to increase service demonstrates the continued popularity international travel has from our market,"" Cassotis said. ""We expect daily service next summer will further grow demand and the economic impact this route has in our region.""",https://archive.triblive.com/local/british-airways-to-expand-flights-from-pittsburgh-to-london/,,,C
trib-terminal-tour-a-look-inside-pit-construction,2025-05-13T20:46:45+00:00,discovery,A look inside nearly finished Pittsburgh International Airport ...,"Paul Hoback, chief development officer","Staffing levels are expected to remain close to current levels,","""Staffing levels are expected to remain close to current levels,"" Hoback said, ""with adjustments based on operational needs.""",https://triblive.com/lifestyles/travel/terminal-tour-a-look-inside-pit-construction/,http://web.archive.org/web/20250724175108/https://triblive.com/lifestyles/travel/terminal-tour-a-look-inside-pit-construction/,89bcf5a679c8f9b7ee8ad928c747e3069bdff293536934e2de198993b7b958bb,C
