clip_id,published,date_source,title,speaker,statement,paragraph,url,wayback,sha256,tier
trib-american-airlines-plane-makes-emergency-landing-at-pittsburg,2026-06-12T16:53:24+00:00,capture,American Airlines plane makes emergency landing at ...,"Bob Kerlik, spokesman",landed safely without incident,"Pittsburgh International spokesman Bob Kerlik said the flight ""landed safely without incident"" following an ""aircraft issue"" and taxied to the gate. The plane was still at the gate as of 4:45 p.m., he said.",https://triblive.com/local/american-airlines-plane-makes-emergency-landing-at-pittsburgh-international/,,,C
trib-pittsburgh-international-applies-for-12-5-million-in-grants-,2026-06-26T17:16:01+00:00,capture,Pittsburgh International Airport applies for $12.5 million in ...,"Christina Cassotis, chief executive","(Cassotis) always made us reach for the stars, and look what we accomplished,","""(Cassotis) always made us reach for the stars, and look what we accomplished,"" Minnotte said.",https://triblive.com/local/pittsburgh-international-applies-for-12-5-million-in-grants-to-upgrade-airfield/,,e36307f17e45f3bb9786000a1d5e3e9afe4baabf095b0f08265288bfedaee3bb,C
trib-pittsburgh-international-airport-is-taking-out-2-of-its-peop,2026-08-12T17:00:46+00:00,capture,Pittsburgh International Airport is removing 2 of its people ...,"Bob Kerlik, spokesman","have reached the end of their useful lives,","Airport spokesman Bob Kerlik said in a statement that the outgoing people movers ""have reached the end of their useful lives,"" and the changes are meant to improve passenger flow.",https://triblive.com/local/pittsburgh-international-airport-is-taking-out-2-of-its-people-movers/,,390e0edb242ff234519c9598143322a12ea5fc3ec663f931333a1e2063fd3eef,C
trib-pittsburgh-international-airport-is-taking-out-2-of-its-peop,2026-08-12T17:00:46+00:00,capture,Pittsburgh International Airport is removing 2 of its people ...,"Bob Kerlik, spokesman","The removal of the two people movers at the beginning of A and B Concourses will relieve congestion at the busiest gate areas of the airport and allow for better movement of passengers to access other gates, amenities and concessions,","""The removal of the two people movers at the beginning of A and B Concourses will relieve congestion at the busiest gate areas of the airport and allow for better movement of passengers to access other gates, amenities and concessions,"" Kerlik said.",https://triblive.com/local/pittsburgh-international-airport-is-taking-out-2-of-its-people-movers/,,390e0edb242ff234519c9598143322a12ea5fc3ec663f931333a1e2063fd3eef,C
trib-3843063,,none,5 things travelers can expect at the new Pittsburgh ...,"Paul Hoback, chief development officer","We're in good shape to continue on track to open in the fourth quarter of this year,","""We're in good shape to continue on track to open in the fourth quarter of this year,"" said Paul Hoback, executive vice president and chief development officer for the Allegheny County Airport Authority. ""We're coming to substantial completion.""",https://community.triblive.com/news/3843063,http://web.archive.org/web/20250724001632/https://community.triblive.com/news/3843063,105e88716dba8c336df01ce7037bba005043cc4724c4203e3f027d500f56e315,C
trib-3843063,,none,5 things travelers can expect at the new Pittsburgh ...,"Paul Hoback, chief development officer","It's much improved from what our customs is now,","""It's much improved from what our customs is now,"" Hoback said. ""It is 33 years old and in desperate need of an upgrade.""",https://community.triblive.com/news/3843063,http://web.archive.org/web/20250724001632/https://community.triblive.com/news/3843063,105e88716dba8c336df01ce7037bba005043cc4724c4203e3f027d500f56e315,C
trib-3915026,,none,Airline travelers in Pittsburgh prepare for flight disruptions,"Bob Kerlik, spokesman","While Pittsburgh International Airport is not among a published list of 40 airports impacted, we do have nonstop service to several of those markets. We advise passengers to check with their airline before coming to the airport in order to closely follow their flight status,","""While Pittsburgh International Airport is not among a published list of 40 airports impacted, we do have nonstop service to several of those markets. We advise passengers to check with their airline before coming to the airport in order to closely follow their flight status,"" Kerlik said.",https://community.triblive.com/news/3915026,https://web.archive.org/web/20251107004705/https://community.triblive.com/news/3915026,f802920bd6f149054f3a49db60058e2ae4303ecf90a730645c58c495ae739104,C
trib-3895522,,none,Bell Acres resident Christina Cassotis leads Pittsburgh ...,"Christina Cassotis, chief executive","I took the job to help Pittsburgh redefine its business model,","""I took the job to help Pittsburgh redefine its business model,"" said Cassotis, CEO of the Allegheny County Airport Authority, which operates Pittsburgh International Airport and Allegheny County Airport. ""Hubs were over in the Midwest. I said to the board and the county executive, ‘I can help you get more airline services. You can't be a hub. It's not about the airport. It's about the market.' """,https://community.triblive.com/news/3895522,http://web.archive.org/web/20251009135054/https://community.triblive.com/news/3895522,,C
trib-3895522,,none,Bell Acres resident Christina Cassotis leads Pittsburgh ...,"Christina Cassotis, chief executive",there are enough people to fill a plane.,"Cassotis said that the airport will get more international flights when ""there are enough people to fill a plane."" Because, like with anything else, demand drives decisions.",https://community.triblive.com/news/3895522,http://web.archive.org/web/20251009135054/https://community.triblive.com/news/3895522,,C
trib-3895522,,none,Bell Acres resident Christina Cassotis leads Pittsburgh ...,"Christina Cassotis, chief executive","It's about prioritizing travelers and employees,","""It's about prioritizing travelers and employees,"" Cassotis said.",https://community.triblive.com/news/3895522,http://web.archive.org/web/20251009135054/https://community.triblive.com/news/3895522,,C
trib-3895522,,none,Bell Acres resident Christina Cassotis leads Pittsburgh ...,"Christina Cassotis, chief executive","The trials have gone well,","""The trials have gone well,"" Cassotis said. ""We don't want any surprises on day one with the public.""",https://community.triblive.com/news/3895522,http://web.archive.org/web/20251009135054/https://community.triblive.com/news/3895522,,C
trib-7a6191a85a21c193ab90dc89f1327497,,none,Pittsburgh airport officials unveil plans for Fort Pitt Tunnel ...,"Paul Hoback, chief development officer","The connector bridge is supposed to emulate the idea of compression and then expansion,","""The connector bridge is supposed to emulate the idea of compression and then expansion,"" said Paul Hoback, the authority's chief development officer.",https://community.triblive.com/news/7a6191a85a21c193ab90dc89f1327497,,bc15fbef6a3eecda1be47fd66c48906d8f6e6dd012ff958b0879f174b691540c,C
trib-7a6191a85a21c193ab90dc89f1327497,,none,Pittsburgh airport officials unveil plans for Fort Pitt Tunnel ...,"Christina Cassotis, chief executive","We were not going to shut down the tram for three years and bus people between the gates and terminal,","""We were not going to shut down the tram for three years and bus people between the gates and terminal,"" Cassotis said.",https://community.triblive.com/news/7a6191a85a21c193ab90dc89f1327497,,bc15fbef6a3eecda1be47fd66c48906d8f6e6dd012ff958b0879f174b691540c,C
trib-7a6191a85a21c193ab90dc89f1327497,,none,Pittsburgh airport officials unveil plans for Fort Pitt Tunnel ...,"Christina Cassotis, chief executive",building the right airport,"Cassotis said the bridge and the rest of the new terminal are part of the authority's mission of ""building the right airport"" for the Pittsburgh region. She said 85% of the work is being completed by local contractors, and the design of the new roof symbolizes the region's rolling hills.",https://community.triblive.com/news/7a6191a85a21c193ab90dc89f1327497,,bc15fbef6a3eecda1be47fd66c48906d8f6e6dd012ff958b0879f174b691540c,C
trib-3881695,,none,Pittsburgh airport's traveler satisfaction likely to rise with ...,"Bob Kerlik, spokesman","We're glad to have moved up this year, but we are aware that our existing facilities don't match the needs of the Pittsburgh market today,","""We're glad to have moved up this year, but we are aware that our existing facilities don't match the needs of the Pittsburgh market today,"" said Bob Kerlik, a Allegheny County Airport Authority spokesman. ""That's why we're building Pittsburgh's new airport.""",https://community.triblive.com/news/3881695,http://web.archive.org/web/20250918190108/https://community.triblive.com/news/3881695,aee977208862ddf8396d6d85ddac82d87d19b3ea1fa4cc3360236ca2dca39222,C
trib-3881695,,none,Pittsburgh airport's traveler satisfaction likely to rise with ...,"Bob Kerlik, spokesman","We have worked to minimize travel disruptions for passengers during construction,","""We have worked to minimize travel disruptions for passengers during construction,"" Kerlik's statement said.",https://community.triblive.com/news/3881695,http://web.archive.org/web/20250918190108/https://community.triblive.com/news/3881695,aee977208862ddf8396d6d85ddac82d87d19b3ea1fa4cc3360236ca2dca39222,C
trib-88a36eb2baf08f4513f51b3a22715f5d,,none,Pittsburgh International Airport has busiest month in nearly ...,"Christina Cassotis, chief executive","What that means is that we are beating our forecasts for the year,","""What that means is that we are beating our forecasts for the year,"" Cassotis said.",https://community.triblive.com/c/pittsburgh-airport-area-news/news/88a36eb2baf08f4513f51b3a22715f5d,,,C
trib-3939598,,none,Pittsburgh International Airport to offer nonstop flights ...,"Christina Cassotis, chief executive","The Pittsburgh region's connection to Ireland runs deep, and this is a route that community leaders have been seeking,","""The Pittsburgh region's connection to Ireland runs deep, and this is a route that community leaders have been seeking,"" said Christina Cassotis, CEO of Pittsburgh International Airport. ""We are thrilled to have a partner in Aer Lingus.""",https://community.triblive.com/news/3939598,http://web.archive.org/web/20251211165755/https://community.triblive.com/news/3939598,addec1ee0c022515ca5cf1f9c2d550b7596bd4a60228f5fa5bac4b576e983d9e,C
trib-4073723,,none,"Rising airfare, gas prices prompt Western Pennsylvanians ...","Bob Kerlik, spokesman","In terms of passenger traffic, we're about flat. We're about right, exactly where we were last year in terms of passengers traveled through April,","""In terms of passenger traffic, we're about flat. We're about right, exactly where we were last year in terms of passengers traveled through April,"" said Bob Kerlik, vice president of media relations for the Allegheny County Airport Authority.",https://community.triblive.com/news/4073723,https://web.archive.org/web/20260815200112/https://community.triblive.com/news/4073723,163f4edcf3abc91ff0d100dc8d8b126f18264c25d91bd5be3a4fd2322389b4ee,C
